Year,GMSL,SigmaError
1900,-156.8338951,25.71567759
1900.083333,-155.2087665,25.70333354
1900.166667,-156.0421787,25.69098964
1900.25,-157.6149636,25.72869263
1900.333333,-158.3042665,25.71637305
1900.416667,-156.8132394,25.65395886
1900.5,-156.9357811,25.69171252
1900.583333,-156.3103632,25.67939346
1900.666667,-157.4340371,25.61690041
1900.75,-156.2137011,25.60455756
1900.833333,-156.7818232,25.64243733
1900.916667,-155.46976,25.63011897
1901,-155.7907503,25.56712643
1901.083333,-155.1381241,25.554784
1901.166667,-155.7580059,25.54244172
1901.25,-155.959708,25.53009959
1901.333333,-156.9057563,25.51775762
1901.416667,-156.8859838,25.5054158
1901.5,-156.1392906,25.49307413
1901.583333,-155.3366188,25.47990986
1901.666667,-155.0041364,25.46674577
1901.75,-155.930827,25.45358185
1901.833333,-155.9082178,25.4404181
1901.916667,-152.375407,25.47720681
1902,-156.7201651,25.46406924
1902.083333,-154.4924832,25.45093187
1902.166667,-155.0802872,25.43779472
1902.25,-153.5760367,25.42465776
1902.333333,-152.8095859,25.41152101
1902.416667,-152.1969249,25.39838446
1902.5,-153.0735245,25.38485782
1902.583333,-152.5901493,25.37254249
1902.666667,-151.0124613,25.36022735
1902.75,-153.4658104,25.34791239
1902.833333,-151.1750602,25.33746038
1902.916667,-153.6332488,25.32514669
1903,-154.6402011,25.26087185
1903.083333,-153.0786858,25.24853263
1903.166667,-153.0862496,25.23619412
1903.25,-152.9262883,25.22385577
1903.333333,-152.5883356,25.21151758
1903.416667,-152.4756511,25.19917955
1903.5,-152.5402045,25.18684168
1903.583333,-153.0272193,25.17368146
1903.666667,-153.4372271,25.16052142
1903.75,-153.01811,25.14736157
1903.833333,-153.1987819,25.13402054
1903.916667,-151.5314932,25.12086096
1904,-152.8253288,25.10770156
1904.083333,-151.2905333,25.09454234
1904.166667,-153.7296056,25.08138331
1904.25,-152.976176,25.06822446
1904.333333,-150.2644533,25.0550658
1904.416667,-149.0729371,25.04190732
1904.5,-149.5562755,25.02874902
1904.583333,-149.3416385,25.01641329
1904.666667,-149.6935314,25.00407772
1904.75,-151.9415625,24.99174231
1904.833333,-150.5713235,24.97940707
1904.916667,-150.0755989,24.96707199
1905,-150.8414508,24.95473454
1905.083333,-146.5423162,24.94239978
1905.166667,-147.3323394,24.9300652
1905.25,-148.3234752,24.91773077
1905.333333,-150.8329297,24.90539652
1905.416667,-149.9658045,24.89306243
1905.5,-148.519666,24.8807285
1905.583333,-148.938135,24.86839474
1905.666667,-148.5997137,24.8560908
